ACCESSION: PR010049
RECORD_TITLE: D-Fructose 6-phosphate; GC-EI-TOF-MS; 6 TMS; 1 MEOX; BP:73
DATE: 2010.11.16 (original 2006.12.21)
AUTHORS: Kusano M, Fukushima A, Plant Science Center, RIKEN.
COPYRIGHT: Copyright(C) 2010 Plant Science Center, RIKEN
<hr size="1" color="silver" width="98%" align="left">CH$NAME: D-Fructose 6-phosphate
CH$COMPOUND_CLASS: Natural Product
CH$FORMULA: C6H13O9P
CH$EXACT_MASS: 260.02972
CH$SMILES: OCC(=O)C(O)C(O)C(O)COP(O)(O)=O
CH$IUPAC: 1/C6H13O9P/c7-1-3(8)5(10)6(11)4(9)2-15-16(12,13)14/h4-7,9-11H,1-2H2,(H2,12,13,14)/t4-,5-,6-/m1/s1/f/h12-13H
CH$LINK: CAS <a href="http://webbook.nist.gov/cgi/cbook.cgi?ID=26177-86-6" target="_blank">26177-86-6</a>
CH$LINK: NIKKAJI <a href="http://nikkajiweb.jst.go.jp/nikkaji_web/pages/top.jsp?SN=J308.398E&CONTENT=syosai" target="_blank">J308.398E</a>
<hr size="1" color="silver" width="98%" align="left">AC$INSTRUMENT: Pegasus III TOF-MS system, Leco; GC 6890, Agilent Technologies
AC$INSTRUMENT_TYPE: GC-EI-TOF-MS
AC$ANALYTICAL_CONDITION: MS_TYPE GC-TOF/MS
AC$ANALYTICAL_CONDITION: MODE POSITIVE
AC$ANALYTICAL_CONDITION: RETENTION_TIME 535.264 sec
AC$ANALYTICAL_CONDITION: RETENTION_INDEX 2284.1
AC$ANALYTICAL_CONDITION: FILE std2_GCTMS_PR051207MSinfo.txt
<hr size="1" color="silver" width="98%" align="left">MS$FOCUSED_ION: DERIVATIVE_TYPE 6 TMS; 1 MEOX
MS$FOCUSED_ION: DERIVATIVE_FORM C25H64NO9PSi6
MS$FOCUSED_ION: DERIVATIVE_MASS 721.29343
MS$FOCUSED_ION: BASE_PEAK 73
MS$DATA_PROCESSING: WHOLE ChromaTOF ver. 2.32 (Leco)
<hr size="1" color="silver" width="98%" align="left">PK$NUM_PEAK: 201
PK$PEAK: m/z int. rel.int.
  60 4 4
  61 7 7
  63 1 1
  66 3 3
  67 2 2
  69 1 1
  70 4 4
  71 4 4
  72 14 14
  73 999 999
  74 85 85
  75 58 58
  76 4 4
  77 15 15
  78 1 1
  79 7 7
  80 1 1
  81 1 1
  82 4 4
  83 2 2
  84 24 24
  85 5 5
  86 2 2
  87 4 4
  88 3 3
  89 51 51
  90 4 4
  91 2 2
  94 1 1
  98 2 2
  99 5 5
  100 9 9
  101 35 35
  102 6 6
  103 81 81
  104 8 8
  105 9 9
  106 1 1
  107 1 1
  111 2 2
  112 1 1
  113 7 7
  114 17 17
  115 7 7
  116 13 13
  117 19 19
  118 2 2
  119 6 6
  121 1 1
  126 3 3
  127 3 3
  128 3 3
  129 73 73
  130 11 11
  131 17 17
  132 3 3
  133 51 51
  134 7 7
  135 8 8
  136 1 1
  137 2 2
  138 1 1
  140 1 1
  141 1 1
  142 5 5
  143 6 6
  144 1 1
  145 2 2
  146 1 1
  147 113 113
  148 18 18
  149 14 14
  150 2 2
  151 4 4
  152 1 1
  153 1 1
  154 1 1
  155 1 1
  156 3 3
  157 8 8
  158 2 2
  159 2 2
  161 1 1
  163 4 4
  165 1 1
  168 2 2
  170 1 1
  171 1 1
  172 6 6
  173 6 6
  174 2 2
  175 1 1
  177 1 1
  179 1 1
  180 2 2
  181 3 3
  182 1 1
  183 1 1
  186 1 1
  187 1 1
  188 1 1
  189 5 5
  190 1 1
  191 8 8
  192 2 2
  193 4 4
  194 1 1
  195 4 4
  196 2 2
  197 1 1
  198 1 1
  200 1 1
  201 2 2
  202 1 1
  203 2 2
  204 7 7
  205 6 6
  206 1 1
  207 9 9
  208 2 2
  209 2 2
  210 1 1
  211 26 26
  212 4 4
  213 2 2
  214 2 2
  215 2 2
  216 3 3
  217 121 121
  218 26 26
  219 11 11
  220 1 1
  221 2 2
  225 9 9
  226 1 1
  227 7 7
  228 2 2
  229 1 1
  230 2 2
  231 2 2
  232 1 1
  240 1 1
  241 1 1
  242 1 1
  243 1 1
  244 2 2
  245 1 1
  247 1 1
  253 2 2
  254 1 1
  255 1 1
  256 2 2
  260 2 2
  262 2 2
  268 2 2
  269 2 2
  270 2 2
  283 2 2
  284 1 1
  285 3 3
  286 2 2
  298 3 3
  299 71 71
  300 22 22
  301 11 11
  302 3 3
  303 1 1
  313 1 1
  314 5 5
  315 162 162
  316 43 43
  317 23 23
  318 4 4
  319 2 2
  328 1 1
  329 1 1
  341 3 3
  342 1 1
  343 1 1
  356 1 1
  357 17 17
  358 5 5
  359 3 3
  360 1 1
  369 1 1
  373 2 2
  374 1 1
  386 1 1
  387 10 10
  388 4 4
  389 3 3
  390 1 1
  402 1 1
  403 5 5
  404 2 2
  405 1 1
  458 2 2
  459 18 18
  460 7 7
  461 5 5
  462 1 1
//
