ACCESSION: JP003338
RECORD_TITLE: DIBENZYL SEBACATE; EI-MS
DATE: 2008.10.21
AUTHORS: KOGA M, UNIV. OF OCCUPATIONAL AND ENVIRONMENTAL HEALTH
COPYRIGHT: Copyright(C) 2008 K. Funatsu, University of Tokyo
<hr size="1" color="silver" width="98%" align="left">CH$NAME: DIBENZYL SEBACATE
CH$COMPOUND_CLASS: N/A
CH$FORMULA: C24H30O4
CH$EXACT_MASS: 382.21441
CH$SMILES: N/A
CH$IUPAC: N/A
<hr size="1" color="silver" width="98%" align="left">AC$INSTRUMENT: JEOL JMS-01-SG-2
AC$INSTRUMENT_TYPE: EI-MS
AC$ANALYTICAL_CONDITION: MS_TYPE EI-MS
AC$ANALYTICAL_CONDITION: MODE POSITIVE
AC$ANALYTICAL_CONDITION: IONIZATION_ENERGY 75 eV
<hr size="1" color="silver" width="98%" align="left">MS$FOCUSED_ION: ION_TYPE [M]+*
<hr size="1" color="silver" width="98%" align="left">PK$NUM_PEAK: 62
PK$PEAK: m/z int. rel.int.
  43 20.8 208
  45 4.2 42
  53 3.9 39
  54 51.5 515
  55 90 900
  56 78.4 784
  59 15.8 158
  60 0.61 6
  67 7.3 73
  68 4.9 49
  69 23.7 237
  70 0.89 9
  71 3.9 39
  73 12.6 126
  79 2.9 29
  81 0.83 8
  82 2.4 24
  83 13.8 138
  84 17.1 171
  87 0.52 5
  93 3 30
  94 2.3 23
  95 7.1 71
  96 0.45 5
  97 21.7 217
  98 27.7 277
  99 3 30
  101 0.93 9
  107 2.4 24
  110 2.3 23
  111 6.3 63
  112 0.42 4
  115 2.6 26
  116 2.4 24
  119 2 20
  121 0.9 9
  124 3.8 38
  125 22 220
  129 4.2 42
  130 0.24 2
  138 13.9 139
  139 21.5 215
  143 25.5 255
  144 0.22 2
  157 8 80
  158 2.2 22
  166 15.7 157
  167 0.57 6
  185 57.8 578
  186 8.6 86
  199 25.2 252
  200 0.41 4
  212 4.8 48
  213 4.1 41
  214 5.8 58
  243 0.23 2
  241 99.99 999
  242 16.7 167
  255 3.5 35
  259 0.26 3
  269 3.3 33
  315 3.9 39
//
