ACCESSION: KZ000120
RECORD_TITLE: D-(-)-Ribose; GC-EI-TOF-MS; 4 TMS; BP:103
DATE: 2010.11.17 (original 2009.03.11)
AUTHORS: Ara T, Morishita Y, Shibata D, Kazusa DNA Research Institute
COPYRIGHT: Copyright(C) 2008-2010 Kazusa DNA Research Institute
COMMENT: MassBase peak ID: MDGC1_05446_P000037
<hr size="1" color="silver" width="98%" align="left">CH$NAME: D-(-)-Ribose
CH$COMPOUND_CLASS: Natural Product
CH$FORMULA: C5H10O5
CH$EXACT_MASS: 150.0528234
CH$SMILES: OC[C@@H](O1)[C@@H](O)[C@@H](O)C(O)1
CH$IUPAC: 1/C5H10O5/c6-1-2-3(7)4(8)5(9)10-2/h2-9H,1H2/t2-,3-,4-,5u/m1/s1
CH$LINK: CAS <a href="http://webbook.nist.gov/cgi/cbook.cgi?ID=50-69-1" target="_blank">50-69-1</a>
CH$LINK: KEGG <a href="http://www.genome.jp/dbget-bin/www_bget?cpd:C00121" target="_blank">C00121</a>
<hr size="1" color="silver" width="98%" align="left">AC$INSTRUMENT: Pegasus III TOF-MS system, Leco; GC 6890, Agilent Technologies
AC$INSTRUMENT_TYPE: GC-EI-TOF-MS
AC$ANALYTICAL_CONDITION: MS_TYPE GC-TOF/MS
AC$ANALYTICAL_CONDITION: MODE POSITIVE
AC$ANALYTICAL_CONDITION: RETENTION_TIME 760.594 sec
AC$ANALYTICAL_CONDITION: RETENTION_INDEX 0.0000
AC$ANALYTICAL_CONDITION: COLUMN_NAME DB-17MS
<hr size="1" color="silver" width="98%" align="left">MS$FOCUSED_ION: DERIVATIVE_TYPE 4 TMS
MS$FOCUSED_ION: BASE_PEAK 103
MS$DATA_PROCESSING: WHOLE ChromaTOF ver. 2.32 (Leco)
<hr size="1" color="silver" width="98%" align="left">PK$NUM_PEAK: 129
PK$PEAK: m/z int. rel.int.
 82 4 4
 84 3 3
 85 5 5
 86 7 7
 87 6 6
 88 3 3
 89 92 92
 90 8 8
 91 4 4
 94 1 1
 98 2 2
 99 3 3
 100 38 38
 101 15 15
 102 19 19
 103 999 999
 104 109 109
 105 75 75
 106 5 5
 107 1 1
 111 1 1
 112 3 3
 113 4 4
 114 15 15
 115 10 10
 116 5 5
 117 42 42
 118 5 5
 119 11 11
 120 1 1
 126 5 5
 127 4 4
 128 5 5
 129 9 9
 131 22 22
 132 5 5
 133 67 67
 134 10 10
 135 6 6
 140 2 2
 141 1 1
 142 6 6
 143 13 13
 144 3 3
 145 12 12
 147 176 176
 148 34 34
 149 20 20
 150 1 1
 156 1 1
 158 9 9
 159 3 3
 160 96 96
 161 26 26
 162 6 6
 163 16 16
 164 2 2
 165 1 1
 168 5 5
 169 1 1
 170 1 1
 172 4 4
 173 7 7
 174 12 12
 175 7 7
 176 1 1
 177 1 1
 184 1 1
 186 1 1
 187 1 1
 188 3 3
 189 99 99
 190 22 22
 191 24 24
 192 4 4
 193 2 2
 198 3 3
 200 3 3
 201 4 4
 202 1 1
 204 4 4
 205 2 2
 214 4 4
 215 2 2
 216 10 10
 217 324 324
 218 65 65
 219 36 36
 220 5 5
 221 4 4
 228 2 2
 230 1 1
 231 9 9
 232 6 6
 233 39 39
 234 14 14
 235 6 6
 240 4 4
 241 1 1
 242 3 3
 246 2 2
 248 3 3
 249 1 1
 256 4 4
 257 3 3
 258 1 1
 262 12 12
 263 3 3
 264 1 1
 272 2 2
 274 5 5
 275 1 1
 276 1 1
 277 30 30
 278 11 11
 279 6 6
 280 1 1
 288 1 1
 305 1 1
 306 3 3
 307 171 171
 308 56 56
 309 31 31
 310 7 7
 311 1 1
 316 1 1
 330 1 1
 331 1 1
 362 2 2
//
